"metric","contrast","estimate","SE","df","t.ratio","p.value"
"F0","CTL - NH4",0.00379305832742039,0.000691633277236129,198.000000000003,5.48420449429216,3.77314065321283e-07
"F0","CTL - NO3",0.00116497665913503,0.000691633277236129,198.000000000001,1.68438491535638,0.0936829563985778
"F0","NH4 - NO3",-0.00262808166828536,0.00069163327723613,198.000000000001,-3.79981957893578,0.000385287731325916
"Fm","CTL - NH4",0.00371339052726313,0.000760564562585739,197.999999999998,4.88241328867398,6.46233538136241e-06
"Fm","CTL - NO3",0.000500110457704013,0.000760564562585739,197.999999999998,0.657551616661913,0.511589977004526
"Fm","NH4 - NO3",-0.00321328006955911,0.000760564562585737,197.999999999998,-4.22486167201208,7.29159826252467e-05
"QuanYield","CTL - NH4",0.000309725727270868,0.000147624322818782,297,2.09806704855185,0.0734878076065841
"QuanYield","CTL - NO3",-0.000284676596549452,0.000147624322818782,297,-1.92838545243598,0.0734878076065841
"QuanYield","NH4 - NO3",-0.00059440232382032,0.000147624322818782,297,-4.02645250098783,0.000215849851789418
"deltaNPQ","CTL - NH4",-0.000633290421301586,0.000387118258942675,297,-1.63590945834297,0.27384374448825
"deltaNPQ","CTL - NO3",-0.000655844234426979,0.000387118258942674,297,-1.69417024197792,0.27384374448825
"deltaNPQ","NH4 - NO3",-2.2553813125393e-05,0.000387118258942674,297,-0.058260783634938,0.95358008329779
"pmax","CTL - NH4",-0.00164397199221493,0.000779965915800121,297,-2.10774850402082,0.0717811468614545
"pmax","CTL - NO3",-0.00324203666637726,0.000779965915800118,297,-4.15663890011329,0.000126875628943548
"pmax","NH4 - NO3",-0.00159806467416233,0.000779965915800118,297,-2.04889039609247,0.0717811468614545
"ek_est","CTL - NH4",-0.0022754951928598,0.000706245532504254,297,-3.22196047710376,0.00424392251279656
"ek_est","CTL - NO3",-0.00176076195078092,0.000706245532504252,297,-2.49313003727967,0.0264132419534672
"ek_est","NH4 - NO3",0.000514733242078878,0.000706245532504252,297,0.728830439824098,0.46667969943964
"hsat","CTL - NH4",0.000510437864584031,0.000554618649057569,297,0.92034024721561,0.358141898014424
"hsat","CTL - NO3",-0.00171731516464313,0.000554618649057567,297,-3.09638914515635,0.00429193879509784
"hsat","NH4 - NO3",-0.00222775302922716,0.000554618649057567,297,-4.01672939237197,0.000224466389994082
"dspi_pmax","CTL - NH4",-0.000438452336361712,0.000427293701617311,197.999999999995,-1.02611467171682,0.306089482254438
"dspi_pmax","CTL - NO3",-0.00176651906183245,0.000427293701617311,198.000000000001,-4.13420337146594,0.000157737712085594
"dspi_pmax","NH4 - NO3",-0.00132806672547074,0.000427293701617311,198.000000000001,-3.10808869974913,0.00432019991082724
