"metric","p_value","smooth_term","edf","Ref.df","F","p-value"
"F0",0,"s(tp2_centered):TreatmentCTL",2.42307421384341,2.42307421384341,16.4448200343631,0
"F0",7.59780486242478e-06,"s(tp2_centered):TreatmentNH4",1.00000000053363,1.00000000053363,20.8657605495627,7.59780486242478e-06
"F0",0,"s(tp2_centered):TreatmentNO3",3.12424333106757,3.12424333106757,13.9192961419627,0
"Fm",9.20886040201019e-07,"s(tp2_centered):TreatmentCTL",2.49634054972291,2.49634054972291,13.9706884085311,9.20886040201019e-07
"Fm",0.00020420512527114,"s(tp2_centered):TreatmentNH4",1.0000000005336,1.0000000005336,14.1673167965444,0.00020420512527114
"Fm",6.20824484098836e-07,"s(tp2_centered):TreatmentNO3",2.6971163298404,2.6971163298404,14.7215798695033,6.20824484098836e-07
"QuanYield",0.0855982496693044,"s(tp2_centered):TreatmentCTL",2.31215459276466,2.31215459276466,2.21676427378039,0.0855982496693044
"QuanYield",0.0293820759280788,"s(tp2_centered):TreatmentNH4",3.76457876186065,3.76457876186065,3.57024722226409,0.0293820759280788
"QuanYield",0.0100472565201646,"s(tp2_centered):TreatmentNO3",4.70412304653455,4.70412304653455,2.84450060388007,0.0100472565201646
"deltaNPQ",0.000159640576898268,"s(tp2_centered):TreatmentCTL",2.79568520597803,2.79568520597803,7.47440675034575,0.000159640576898268
"deltaNPQ",0.000702216619998142,"s(tp2_centered):TreatmentNH4",3.19023392245625,3.19023392245625,5.6763344011479,0.000702216619998142
"deltaNPQ",0.00714112357540864,"s(tp2_centered):TreatmentNO3",1.4422891540522,1.4422891540522,5.43004333317285,0.00714112357540864
"pmax",0.00183428359943988,"s(tp2_centered):TreatmentCTL",2.77203579842568,2.77203579842568,5.05326890954204,0.00183428359943988
"pmax",0.0322702997440404,"s(tp2_centered):TreatmentNH4",2.21235080029634,2.21235080029634,3.75633783882437,0.0322702997440404
"pmax",0.000621038738426782,"s(tp2_centered):TreatmentNO3",1.00000000047219,1.00000000047219,11.9819504184018,0.000621038738426782
"ek_est",0.0156575027156934,"s(tp2_centered):TreatmentCTL",2.47062596995841,2.47062596995841,3.48239574834819,0.0156575027156934
"ek_est",0.00281688700332072,"s(tp2_centered):TreatmentNH4",1.00000000053374,1.00000000053374,9.08249305140825,0.00281688700332072
"ek_est",0.00191656950621455,"s(tp2_centered):TreatmentNO3",2.8118915371241,2.8118915371241,5.42093945082522,0.00191656950621455
"hsat",0,"s(tp2_centered):TreatmentCTL",2.49789896950563,2.49789896950563,41.097163534217,0
"hsat",0,"s(tp2_centered):TreatmentNH4",4.43195045430123,4.43195045430123,54.7192965569105,0
"hsat",0,"s(tp2_centered):TreatmentNO3",2.53925248266883,2.53925248266883,38.8171898525024,0
"dspi_pmax",8.62718500971305e-07,"s(tp2_centered):TreatmentCTL",3.33625684847564,3.33625684847564,10.7417466485086,8.62718500971305e-07
"dspi_pmax",0.00443897009562066,"s(tp2_centered):TreatmentNH4",3.78562583986401,3.78562583986401,4.98714644476597,0.00443897009562066
"dspi_pmax",0.124689902886496,"s(tp2_centered):TreatmentNO3",2.94319018248834,2.94319018248834,1.67721412010651,0.124689902886496
